Franchise,Lg,From,To,Yrs,G,W,L,W/L%,Plyfs,Div,Conf,Champ
Denver Nuggets,ABA,1974-75,1975-76,2,168,125,43,.744,2,2,0,0
Denver Rockets,ABA,1967-68,1973-74,7,576,288,288,.500,7,1,0,0
Detroit Pistons,NBA/BAA,1948-49,2022-23,75,5883,2808,3075,.477,42,11,5,3
Detroit Pistons,NBA,1957-58,2022-23,66,5264,2495,2769,.474,34,9,5,3
Fort Wayne Pistons,NBA/BAA,1948-49,1956-57,9,619,313,306,.506,8,2,0,0
Golden State Warriors,NBA/BAA,1946-47,2022-23,77,5987,2903,3084,.485,36,12,7,7
Golden State Warriors,NBA,1971-72,2022-23,52,4155,2015,2140,.485,19,7,7,5
San Francisco Warriors,NBA,1962-63,1970-71,9,729,330,399,.453,5,2,0,0
Philadelphia Warriors,NBA/BAA,1946-47,1961-62,16,1103,558,545,.506,12,3,0,2
Houston Rockets,NBA,1967-68,2022-23,56,4490,2317,2173,.516,34,8,4,2
Houston Rockets,NBA,1971-72,2022-23,52,4162,2198,1964,.528,33,8,4,2
San Diego Rockets,NBA,1967-68,1970-71,4,328,119,209,.363,1,0,0,0
Indiana Pacers,NBA/ABA,1967-68,2022-23,56,4498,2299,2199,.511,36,9,1,3
Indiana Pacers,NBA,1976-77,2022-23,47,3754,1872,1882,.499,27,6,1,0
Indiana Pacers,ABA,1967-68,1975-76,9,744,427,317,.574,9,3,0,3
Los Angeles Clippers,NBA,1970-71,2022-23,53,4246,1774,2472,.418,16,2,0,0
Los Angeles Clippers,NBA,1984-85,2022-23,39,3098,1329,1769,.429,13,2,0,0
San Diego Clippers,NBA,1978-79,1983-84,6,492,186,306,.378,0,0,0,0
Buffalo Braves,NBA,1970-71,1977-78,8,656,259,397,.395,3,0,0,0
Los Angeles Lakers,NBA/BAA,1948-49,2022-23,75,5889,3483,2406,.591,62,33,19,17
Los Angeles Lakers,NBA,1960-61,2022-23,63,5050,3026,2024,.599,51,29,19,12
Minneapolis Lakers,NBA/BAA,1948-49,1959-60,12,839,457,382,.545,11,4,0,5
Memphis Grizzlies,NBA,1995-96,2022-23,28,2195,951,1244,.433,12,1,0,0
Memphis Grizzlies,NBA,2001-02,2022-23,22,1735,850,885,.490,12,1,0,0
Vancouver Grizzlies,NBA,1995-96,2000-01,6,460,101,359,.220,0,0,0,0
Miami Heat,NBA,1988-89,2022-23,35,2770,1458,1312,.526,23,15,6,3
Milwaukee Bucks,NBA,1968-69,2022-23,55,4409,2313,2096,.525,34,17,3,2
